Number,Name,ID,Gen MW,Gen Mvar,Set Volt,AGC,AVR,Min MW,Max MW,Min Mvar,Max Mvar,Part. Factor,Test No,Group,Condition
14,PALOONA ,1,10.8,74.47,1,NO ,YES,0,140,-9900,9900,100,1,GR,OK
21,DEVILS B,1,-205.78,85.44,1.02,YES,YES,0,200,-9900,9900,100,1,GR,OK
33,SLACK   ,1,-232.72,95.48,1.02,NO ,YES,0,300,-9900,9900,100,1,GR,OK
33,SLACK   ,2,-108.6,95.48,1.02,YES,YES,0,140,-9900,9900,100,1,GR,OK
38,MACKINTO,1,80,5.71,1,YES,YES,0,1000,-9900,9900,10,1,GR,OK
43,BASTYAN ,1,80,-4.09,1,YES,YES,0,1000,-9900,9900,10,1,GR,OK
44,JOHN BUT,1,144,-15.9,1,YES,YES,0,1000,-9900,9900,10,1,GR,OK
45,TRIBUTE ,1,83,-4.7,1,YES,YES,0,1000,-9900,9900,10,1,GR,OK
46,REECE   ,1,115,-10.86,1,YES,YES,0,1000,-9900,9900,10,1,GR,OK
47,REECE   ,1,115,-10.86,1,YES,YES,0,1000,-9900,9900,10,1,GR,OK
48,CETHANA ,1,85,29.64,1,YES,YES,0,1000,-9900,9900,10,1,GR,OK
49,WILMOT  ,1,51,36.98,1,YES,YES,0,1000,-9900,9900,10,1,GR,OK
50,LEMONTHY,1,30,41.87,1,YES,YES,0,1000,-9900,9900,10,1,GR,OK
52,ROWALLAN,1,11,-52.99,1,YES,YES,0,1000,-9900,9900,10,1,GR,OK
54,TAMAR VA,1,200,30.2,1,YES,YES,0,210,-9900,9900,10,1,GR,OK
121,NBUS    ,1,43,74.46,1,YES,YES,0,60,-9900,9900,10,1,GR,OK
14,PALOONA,1,10.8,8.27,1,NO,YES,0,140,-9900,9900,100,2,GR,OK
21,DEVILS B,1,-139.76,42.18,1.02,YES,YES,0,200,-9900,9900,100,2,GR,OK
33,SLACK,1,-199.2,61.98,1.02,NO,YES,0,300,-9900,9900,100,2,GR,OK
33,SLACK,2,-92.96,61.98,1.02,YES,YES,0,140,-9900,9900,100,2,GR,OK
38,MACKINTO,1,80,-16.74,1,YES,YES,0,1000,-9900,9900,10,2,GR,OK
43,BASTYAN,1,80,-14.56,1,YES,YES,0,1000,-9900,9900,10,2,GR,OK
44,JOHN BUT,1,0,0,1,YES,YES,0,1000,-9900,9900,10,2,GR,OK
45,TRIBUTE,1,83,-15.16,1,YES,YES,0,1000,-9900,9900,10,2,GR,OK
46,REECE,1,115,-21.28,1,YES,YES,0,1000,-9900,9900,10,2,GR,OK
47,REECE,1,115,-21.28,1,YES,YES,0,1000,-9900,9900,10,2,GR,OK
48,CETHANA,1,85,8.36,1,YES,YES,0,1000,-9900,9900,10,2,GR,OK
49,WILMOT,1,51,15.6,1,YES,YES,0,1000,-9900,9900,10,2,GR,OK
50,LEMONTHY,1,30,20.43,1,YES,YES,0,1000,-9900,9900,10,2,GR,OK
52,ROWALLAN,1,11,-31.86,1,YES,YES,0,1000,-9900,9900,10,2,GR,OK
54,TAMAR VA,1,200,17.52,1,YES,YES,0,210,-9900,9900,10,2,GR,OK
121,NBUS,1,43,30.73,1,YES,YES,0,60,-9900,9900,10,2,GR,OK
14,PALOONA,1,10.8,19.42,1,NO,YES,0,140,-9900,9900,100,3,GR,OK
21,DEVILS B,1,-152.95,49.41,1.02,YES,YES,0,200,-9900,9900,100,3,GR,OK
33,SLACK,1,-206.32,67.94,1.02,NO,YES,0,300,-9900,9900,100,3,GR,OK
33,SLACK,2,-96.28,67.94,1.02,YES,YES,0,140,-9900,9900,100,3,GR,OK
38,MACKINTO,1,80,-12.43,1,YES,YES,0,1000,-9900,9900,10,3,GR,OK
43,BASTYAN,1,80,-12.04,1,YES,YES,0,1000,-9900,9900,10,3,GR,OK
44,JOHN BUT,1,144,-23.79,1,YES,YES,0,1000,-9900,9900,10,3,GR,OK
45,TRIBUTE,1,83,-12.64,1,YES,YES,0,1000,-9900,9900,10,3,GR,OK
46,REECE,1,0,0,1,YES,YES,0,1000,-9900,9900,10,3,GR,OK
47,REECE,1,115,-18.77,1,YES,YES,0,1000,-9900,9900,10,3,GR,OK
48,CETHANA,1,85,12.2,1,YES,YES,0,1000,-9900,9900,10,3,GR,OK
49,WILMOT,1,51,19.45,1,YES,YES,0,1000,-9900,9900,10,3,GR,OK
50,LEMONTHY,1,30,24.3,1,YES,YES,0,1000,-9900,9900,10,3,GR,OK
52,ROWALLAN,1,11,-35.66,1,YES,YES,0,1000,-9900,9900,10,3,GR,OK
54,TAMAR VA,1,200,19.8,1,YES,YES,0,210,-9900,9900,10,3,GR,OK
121,NBUS,1,43,38.52,1,YES,YES,0,60,-9900,9900,10,3,GR,OK
14,PALOONA,1,10.8,19.42,1,NO,YES,0,140,-9900,9900,100,4,GR,OK
21,DEVILS B,1,-152.95,49.41,1.02,YES,YES,0,200,-9900,9900,100,4,GR,OK
33,SLACK,1,-206.32,67.94,1.02,NO,YES,0,300,-9900,9900,100,4,GR,OK
33,SLACK,2,-96.28,67.94,1.02,YES,YES,0,140,-9900,9900,100,4,GR,OK
38,MACKINTO,1,80,-12.43,1,YES,YES,0,1000,-9900,9900,10,4,GR,OK
43,BASTYAN,1,80,-12.04,1,YES,YES,0,1000,-9900,9900,10,4,GR,OK
44,JOHN BUT,1,144,-23.79,1,YES,YES,0,1000,-9900,9900,10,4,GR,OK
45,TRIBUTE,1,83,-12.64,1,YES,YES,0,1000,-9900,9900,10,4,GR,OK
46,REECE,1,115,-18.77,1,YES,YES,0,1000,-9900,9900,10,4,GR,OK
47,REECE,1,0,0,1,YES,YES,0,1000,-9900,9900,10,4,GR,OK
48,CETHANA,1,85,12.2,1,YES,YES,0,1000,-9900,9900,10,4,GR,OK
49,WILMOT,1,51,19.45,1,YES,YES,0,1000,-9900,9900,10,4,GR,OK
50,LEMONTHY,1,30,24.3,1,YES,YES,0,1000,-9900,9900,10,4,GR,OK
52,ROWALLAN,1,11,-35.66,1,YES,YES,0,1000,-9900,9900,10,4,GR,OK
54,TAMAR VA,1,200,19.8,1,YES,YES,0,210,-9900,9900,10,4,GR,OK
121,NBUS,1,43,38.52,1,YES,YES,0,60,-9900,9900,10,4,GR,OK
14,PALOONA,1,10.8,33.47,1,NO,YES,0,140,-9900,9900,100,5,GR,OK
21,DEVILS B,1,-161.11,55.66,1.02,YES,YES,0,200,-9900,9900,100,5,GR,OK
33,SLACK,1,-210.77,73.18,1.02,NO,YES,0,300,-9900,9900,100,5,GR,OK
33,SLACK,2,-98.36,73.18,1.02,YES,YES,0,140,-9900,9900,100,5,GR,OK
38,MACKINTO,1,80,-3.05,1,YES,YES,0,1000,-9900,9900,10,5,GR,OK
43,BASTYAN,1,80,-5.45,1,YES,YES,0,1000,-9900,9900,10,5,GR,OK
44,JOHN BUT,1,144,-17.25,1,YES,YES,0,1000,-9900,9900,10,5,GR,OK
45,TRIBUTE,1,83,-6.06,1,YES,YES,0,1000,-9900,9900,10,5,GR,OK
46,REECE,1,115,-12.21,1,YES,YES,0,1000,-9900,9900,10,5,GR,OK
47,REECE,1,115,-12.21,1,YES,YES,0,1000,-9900,9900,10,5,GR,OK
48,CETHANA,1,0,0,1,YES,YES,0,1000,-9900,9900,10,5,GR,OK
49,WILMOT,1,51,33.78,1,YES,YES,0,1000,-9900,9900,10,5,GR,OK
50,LEMONTHY,1,30,38.66,1,YES,YES,0,1000,-9900,9900,10,5,GR,OK
52,ROWALLAN,1,11,-49.82,1,YES,YES,0,1000,-9900,9900,10,5,GR,OK
54,TAMAR VA,1,200,28.3,1,YES,YES,0,210,-9900,9900,10,5,GR,OK
121,NBUS,1,43,67.84,1,YES,YES,0,60,-9900,9900,10,5,GR,OK
14,PALOONA,1,10.8,-5.17,1,NO,YES,0,140,-9900,9900,100,6,GR,OK
21,DEVILS B,1,-83.85,23.45,1.02,YES,YES,0,200,-9900,9900,100,6,GR,OK
33,SLACK,1,-167.83,44.31,1.02,NO,YES,0,300,-9900,9900,100,6,GR,OK
33,SLACK,2,-78.32,44.31,1.02,YES,YES,0,140,-9900,9900,100,6,GR,OK
38,MACKINTO,1,80,-12.63,1,YES,YES,0,1000,-9900,9900,10,6,GR,OK
43,BASTYAN,1,80,-3.14,1,YES,YES,0,1000,-9900,9900,10,6,GR,OK
44,JOHN BUT,1,144,-14.95,1,YES,YES,0,1000,-9900,9900,10,6,GR,OK
45,TRIBUTE,1,83,-3.75,1,YES,YES,0,1000,-9900,9900,10,6,GR,OK
46,REECE,1,115,-9.91,1,YES,YES,0,1000,-9900,9900,10,6,GR,OK
47,REECE,1,115,-9.91,1,YES,YES,0,1000,-9900,9900,10,6,GR,OK
48,CETHANA,1,85,47.78,1,YES,YES,0,1000,-9900,9900,10,6,GR,OK
49,WILMOT,1,51,55.2,1,YES,YES,0,1000,-9900,9900,10,6,GR,OK
50,LEMONTHY,1,30,60.15,1,YES,YES,0,1000,-9900,9900,10,6,GR,OK
52,ROWALLAN,1,11,-70.94,1,YES,YES,0,1000,-9900,9900,10,6,GR,OK
54,TAMAR VA,1,0,0,1,YES,YES,0,210,-9900,9900,10,6,GR,OK
121,NBUS,1,43,112.45,1,YES,YES,0,60,-9900,9900,10,6,GR,OK
14,PALOONA,1,10.8,-28.45,1,NO,YES,0,140,-9900,9900,100,7,GR,OK
21,DEVILS B,1,-85.77,18.78,1.02,YES,YES,0,200,-9900,9900,100,7,GR,OK
33,SLACK,1,-168.31,40.87,1.02,NO,YES,0,300,-9900,9900,100,7,GR,OK
33,SLACK,2,-78.54,40.87,1.02,YES,YES,0,140,-9900,9900,100,7,GR,OK
38,MACKINTO,1,80,-32.03,1,YES,YES,0,1000,-9900,9900,10,7,GR,OK
43,BASTYAN,1,80,-23.49,1,YES,YES,0,1000,-9900,9900,10,7,GR,OK
44,JOHN BUT,1,0,0,1,YES,YES,0,1000,-9900,9900,10,7,GR,OK
45,TRIBUTE,1,83,-24.09,1,YES,YES,0,1000,-9900,9900,10,7,GR,OK
46,REECE,1,0,0,1,YES,YES,0,1000,-9900,9900,10,7,GR,OK
47,REECE,1,115,-30.17,1,YES,YES,0,1000,-9900,9900,10,7,GR,OK
48,CETHANA,1,85,-4.97,1,YES,YES,0,1000,-9900,9900,10,7,GR,OK
49,WILMOT,1,51,2.22,1,YES,YES,0,1000,-9900,9900,10,7,GR,OK
50,LEMONTHY,1,30,7.01,1,YES,YES,0,1000,-9900,9900,10,7,GR,OK
52,ROWALLAN,1,11,-18.6,1,YES,YES,0,1000,-9900,9900,10,7,GR,OK
54,TAMAR VA,1,200,9.61,1,YES,YES,0,210,-9900,9900,10,7,GR,OK
121,NBUS,1,43,3.84,1,YES,YES,0,60,-9900,9900,10,7,GR,OK
14,PALOONA,1,10.8,-9.82,1,NO,YES,0,140,-9900,9900,100,8,GR,OK
21,DEVILS B,1,-108.81,28.59,1.02,YES,YES,0,200,-9900,9900,100,8,GR,OK
33,SLACK,1,-182.21,50.28,1.02,NO,YES,0,300,-9900,9900,100,8,GR,OK
33,SLACK,2,-85.03,50.28,1.02,YES,YES,0,140,-9900,9900,100,8,GR,OK
38,MACKINTO,1,80,-19.57,1,YES,YES,0,1000,-9900,9900,10,8,GR,OK
43,BASTYAN,1,80,-13.54,1,YES,YES,0,1000,-9900,9900,10,8,GR,OK
44,JOHN BUT,1,144,-25.28,1,YES,YES,0,1000,-9900,9900,10,8,GR,OK
45,TRIBUTE,1,83,-14.15,1,YES,YES,0,1000,-9900,9900,10,8,GR,OK
46,REECE,1,115,-20.27,1,YES,YES,0,1000,-9900,9900,10,8,GR,OK
47,REECE,1,0,0,1,YES,YES,0,1000,-9900,9900,10,8,GR,OK
48,CETHANA,1,0,0,1,YES,YES,0,1000,-9900,9900,10,8,GR,OK
49,WILMOT,1,51,15.37,1,YES,YES,0,1000,-9900,9900,10,8,GR,OK
50,LEMONTHY,1,30,20.2,1,YES,YES,0,1000,-9900,9900,10,8,GR,OK
52,ROWALLAN,1,11,-31.61,1,YES,YES,0,1000,-9900,9900,10,8,GR,OK
54,TAMAR VA,1,200,17.38,1,YES,YES,0,210,-9900,9900,10,8,GR,OK
121,NBUS,1,43,30.23,1,YES,YES,0,60,-9900,9900,10,8,GR,OK
14,PALOONA,1,10.8,-18.52,1,NO,YES,0,140,-9900,9900,100,9,GR,OK
21,DEVILS B,1,-38.13,12.41,1.02,YES,YES,0,200,-9900,9900,100,9,GR,OK
33,SLACK,1,-140.36,31.24,1.02,NO,YES,0,300,-9900,9900,100,9,GR,OK
33,SLACK,2,-65.5,31.24,1.02,YES,YES,0,140,-9900,9900,100,9,GR,OK
38,MACKINTO,1,80,-17.26,1,YES,YES,0,1000,-9900,9900,10,9,GR,OK
43,BASTYAN,1,80,-1.73,1,YES,YES,0,1000,-9900,9900,10,9,GR,OK
44,JOHN BUT,1,144,-13.56,1,YES,YES,0,1000,-9900,9900,10,9,GR,OK
45,TRIBUTE,1,83,-2.34,1,YES,YES,0,1000,-9900,9900,10,9,GR,OK
46,REECE,1,115,-8.51,1,YES,YES,0,1000,-9900,9900,10,9,GR,OK
47,REECE,1,115,-8.51,1,YES,YES,0,1000,-9900,9900,10,9,GR,OK
48,CETHANA,1,0,0,1,YES,YES,0,1000,-9900,9900,10,9,GR,OK
49,WILMOT,1,51,66.61,1,YES,YES,0,1000,-9900,9900,10,9,GR,OK
50,LEMONTHY,1,30,71.6,1,YES,YES,0,1000,-9900,9900,10,9,GR,OK
52,ROWALLAN,1,11,-82.3,1,YES,YES,0,1000,-9900,9900,10,9,GR,OK
54,TAMAR VA,1,0,0,1,YES,YES,0,210,-9900,9900,10,9,GR,OK
121,NBUS,1,43,136.83,1,YES,YES,0,60,-9900,9900,10,9,GR,OK
14,PALOONA,1,10.8,-20.51,1,NO,YES,0,140,-9900,9900,100,10,GR,OK
21,DEVILS B,1,-99.18,23.74,1.02,YES,YES,0,200,-9900,9900,100,10,GR,OK
33,SLACK,1,-176.22,45.66,1.02,NO,YES,0,300,-9900,9900,100,10,GR,OK
33,SLACK,2,-82.23,45.66,1.02,YES,YES,0,140,-9900,9900,100,10,GR,OK
38,MACKINTO,1,80,-28.35,1,YES,YES,0,1000,-9900,9900,10,10,GR,OK
43,BASTYAN,1,80,-21,1,YES,YES,0,1000,-9900,9900,10,10,GR,OK
44,JOHN BUT,1,144,-32.69,1,YES,YES,0,1000,-9900,9900,10,10,GR,OK
45,TRIBUTE,1,83,-21.61,1,YES,YES,0,1000,-9900,9900,10,10,GR,OK
46,REECE,1,0,0,1,YES,YES,0,1000,-9900,9900,10,10,GR,OK
47,REECE,1,0,0,1,YES,YES,0,1000,-9900,9900,10,10,GR,OK
48,CETHANA,1,85,-1.9,1,YES,YES,0,1000,-9900,9900,10,10,GR,OK
