Number,From Name,To Number,To Name,ID,Circuit,Status,Xfrmr,From MW,From Mvar,From MVA,Lim MVA,MW Loss,Mvar Loss,Test No,Group,Condition,,
11,SMITHTON,10,PORT LAT,1,1,Closed,No,-159.2,17,160.1,180,4.5,10.7,1,LR,OK,,
10,PORT LAT,20,BURNIE,2,1,Closed,No,-163.7,6.4,163.8,180,4.5,10.4,1,LR,OK,,
11,SMITHTON,20,BURNIE,3,1,Closed,No,-182.1,-17.2,183,100,0,42.2,1,LR,OK,,
33,SLACK,11,SMITHTON,4,1,Closed,Yes,-341.3,191,391.1,1000,0,191.1,1,LR,OK,,
12,EMU BAY,13,ULVERSTO,5,1,Closed,No,-9,-41.2,42.2,180,0.2,-7.6,1,LR,OK,,
20,BURNIE,12,EMU BAY,6,1,Closed,No,-8.7,-48,48.8,180,0.3,-6.8,1,LR,OK,,
13,ULVERSTO,14,PALOONA,7,1,Closed,No,-9.2,-33.6,34.8,180,0.1,-8.3,1,LR,OK,, 
14,PALOONA,15,SHEFFIEL,8,1,Closed,No,1.4,49.2,49.3,180,0.4,-7.2,1,LR,OK,,
15,SHEFFIEL,16,WESLEY V,9,1,Closed,No,0,-12.8,12.8,180,0,-8.5,1,LR,OK,,
15,SHEFFIEL,17,DEVONPOR,10,1,Closed,No,0,-12.8,12.8,180,0,-8.5,1,LR,OK,,
15,SHEFFIEL,18,RAILTON,11,1,Closed,No,0,-8.5,8.5,180,0,-8.5,1,LR,OK,,
19,DEVILS G,15,SHEFFIEL,12,1,Closed,No,-205.8,23.4,207.1,180,6.6,18.2,1,LR,OK,,
20,BURNIE,15,SHEFFIEL,13,1,Closed,No,-24.8,-61.6,66.4,180,0.6,-5.7,1,LR,OK,,
15,SHEFFIEL,22,SHEFF_B2,14,1,Closed,Yes,-236.9,39.7,240.2,1000,0,79.7,1,LR,OK,,
16,WESLEY V,17,DEVONPOR,15,1,Closed,No,0,-4.3,4.3,180,0,-8.6,1,LR,OK,,
19,DEVILS G,21,DEVILS B,16,1,Closed,Yes,205.8,-23.4,207.1,1000,0,62,1,LR,OK,,
23,,20,BURNIE,17,1,Closed,Yes,161.2,19.8,162.4,1000,0,39.4,1,LR,OK,,
34,Hamsphir,20,BURNIE,18,1,Closed,No,159.6,-18.5,160.7,180,4,8.1,1,LR,OK,,
22,SHEFF_B2,23,,19,1,Closed,No,165.4,28.3,167.8,180,4.2,8.5,1,LR,OK,,
42,FARRELL,22,SHEFF_B2,20,1,Closed,No,447,-22.2,447.6,180,28.3,104.2,1,LR,OK,,
48,CETHANA,22,SHEFF_B2,21,1,Closed,No,85,29.6,90,180,1.2,-4.1,1,LR,OK,,
49,WILMOT,22,SHEFF_B2,22,1,Closed,No,51,37,63,180,0.6,-6.4,1,LR,OK,,
50,LEMONTHY,22,SHEFF_B2,23,1,Closed,No,30,41.9,51.5,180,0.4,-7.1,1,LR,OK,,
51,FISHER,22,SHEFF_B2,24,1,Closed,No,53.1,36.5,64.5,180,0.6,-6.3,1,LR,OK,,
53,53,22,SHEFF_B2,25,1,Closed,No,-224.7,49.5,230.1,180,8,23.7,1,LR,OK,,
132,132,34,Hamsphir,26,1,Closed,No,159.6,10.6,160,180,0,29.1,1,LR,OK,,
132,132,35,Savage r,27,1,Closed,No,0,0,0,180,0,0,1,LR,OK,,
36,QUE,120,NBUSQUEW,28,1,Closed,No,0,0,0,180,0,-8.4,1,LR,OK,,
37,37,38,MACKINTO,29,1,Closed,No,-79.1,-11,79.9,180,0.9,-5.3,1,LR,OK,,
39,ROSEBERY,37,37,30,1,Closed,No,-0.6,4.8,4.8,180,0,-8.7,1,LR,OK,,
37,37,42,FARRELL,31,1,Closed,Yes,-80.6,8.1,81,180,1,-5,1,LR,OK,,
37,37,119,QUEENFAR,32,1,Closed,No,-0.5,-21.8,21.8,180,0,-8.7,1,LR,OK,,
37,37,120,NBUSQUEW,33,1,Closed,No,159.6,38.2,164.1,180,0,7,1,LR,OK,,
39,ROSEBERY,119,QUEENFAR,34,1,Closed,No,0.6,-4.8,4.8,0,0,0,1,LR,OK,,
40,QUEENSTO,41,NEWTON,35,1,Closed,No,0,-9.1,9.1,180,0,-9.1,1,LR,OK,,
40,QUEENSTO,119,QUEENFAR,36,1,Closed,No,0,9.1,9.1,180,0,-8.9,1,LR,OK,,
